id;word
1;政变
2;北京.*出事了
3;出事了.*北京
4;跑官
5;内蒙古.*抗议
6;抗议.*内蒙古
7;天安.*事件
8;事件.*天安
9;1989.*天安門
10;天安門.*1989
11;平反64
12;89动乱
13;89.*学生动乱
14;学生动乱.*89
15;89.*学生运动
16;学生运动.*89
17;64.*学生运动
18;学生运动.*64
19;64.*镇压
20;镇压.*64
21;64.*真相
22;真相.*64
23;活摘器官
24;群体灭绝
25;张宏堡
26;地下教会
27;冤民大同盟
28;达赖
29;藏独
30;西藏流亡政府
31;台湾.*独立联盟
32;独立联盟.*台湾
33;新疆.*独立
34;独立.*新疆
35;女保镖
36;玩ps
37;文字狱
38;一党专政
39;一党独裁
40;新闻封锁
41;老人政治
42;反社会
43;维权人士
44;维权律师
45;异见人士
46;异议人士
47;共铲党
48;共残党
49;共惨党
50;共匪
51;赤匪
52;中共
53;中宣
54;真理部
55;上海帮
56;团派
57;北京当局
58;裆中央
59;九常委
60;九长老
61;锦涛
62;家宝
63;影帝
64;近平
65;回良玉
66;汪洋
67;张高丽
68;俞正声
69;徐才厚
70;郭伯雄
71;熙来
72;梁光烈
73;孟建柱
74;戴秉国
75;马凯
76;令计划
77;韩正
78;章沁生
79;陈世炬
80;泽民
81;贼民
82;邓小平
83;庆红
84;罗干
85;假庆淋
86;色情
87;花花公子
88;高潮
89;诱惑
90;快感
91;淫
92;婊子
93;勃起
94;博讯
95;操逼
96;操她
97;操你
98;操他
99;操我
100;插你
101;车仑
102;赤匪
103;抽插
104;臭逼
105;吹箫
106;打炮
107;大b
108;大逼
109;大波
110;吊毛
111;二逼
112;发抡
113;发仑
114;发伦
115;发囵
116;发轮
117;发论
118;法功
119;法愣
120;法抡
121;法仑
122;法伦
123;法囵
124;法纶
125;法轮
126;肥逼
127;肥穴
128;分裂
129;阝月
130;干逼
131;肛交
132;工力
133;功法
134;功友
135;共党
136;共匪
137;共狗
138;共军
139;狗操
140;狗日
141;龟公
142;龟头
143;哈批
144;豪乳
145;宏志
146;洪志
147;黄菊
148;回民
149;鸡八
150;鸡巴
151;鸡吧
152;妓女
153;奸轮
154;贱逼
155;贱比
156;贱货
157;贱人
158;江猪
159;叫床
160;精液
161;巨波
162;巨乳
163;口交
164;狂操
165;捆绑
166;烂逼
167;烂比
168;烂货
169;浪穴
170;炼功
171;六四
172;轮功
173;轮奸
174;妈批
175;卖逼
176;卖比
177;蒙独
178;迷奸
179;蜜穴
180;民运
181;民猪
182;明慧
183;奶头
184;奶子
185;皮条
186;屁眼
187;嫖娼
188;嫖妓
189;强暴
190;强鸡
191;强奸
192;求欢
193;群奸
194;群交
195;日B
196;日逼
197;日比
198;日她
199;日你
200;日死
201;日我
202;肉棒
203;肉洞
204;乳交
205;瑞环
206;色诱
207;傻B
208;傻逼
209;射精
210;绳虐
211;兽交
212;熟女
213;氵去
214;水扁
215;私处
216;外阴
217;我操
218;我日
219;小逼
220;小洞
221;小穴
222;泄欲
223;性爱
224;性交
225;性梦
226;性奴
227;性虐
228;性事
229;性欲
230;艳情
231;阳具
232;阳痿
233;阴部
234;阴唇
235;阴道
236;阴蒂
237;阴茎
238;阴毛
239;阴水
240;淫手
241;杂种
242;招妓
243;正法
244;猪操
245;猪毛
246;自焚
247;自虐
248;自慰
249;作爱
250;做爱
251;操你妈
252;操你娘
253;处女膜
254;打飞机
255;大参考
256;大花逼
257;大纪元
258;你妈
259;你娘
260;动态网
261;发抡功
262;发伦功
263;发论公
264;发论功
265;发正念
266;反封锁
267;干你妈
268;干你娘
269;干死你
270;共产党
271;狗卵子
272;古怪歌
273;回民暴
